Year,Team,Sample,Tm.FT_Perc,GMS,W,L,Tm.Pts,Opp.Pts
1999,HOU,Annual,0.728727885,50,31,19,4711,4595
1999,IND,Annual,0.795602606,50,33,17,4733,4546
1999,LAC,Annual,0.720816327,50,9,41,4519,4960
1999,LAL,Annual,0.683300067,50,31,19,4950,4799
1999,MIA,Annual,0.735340729,50,33,17,4449,4201
1999,MIL,Annual,0.733333333,50,28,22,4584,4501
1999,MIN,Annual,0.742782152,50,25,25,4647,4628
1999,NJN,Annual,0.768984812,50,16,34,4569,4758
1999,NYK,Annual,0.732348112,50,27,23,4320,4269
1999,ORL,Annual,0.699680511,50,33,17,4473,4343
1999,PHI,Annual,0.722072678,50,28,22,4483,4380
1999,PHO,Annual,0.760493827,50,27,23,4779,4666
1999,POR,Annual,0.742772424,50,35,15,4742,4424
1999,SAC,Annual,0.682907966,50,27,23,5009,5030
1999,SAS,Annual,0.698233216,50,37,13,4640,4237
1999,SEA,Annual,0.680945347,50,25,25,4743,4797
1999,TOR,Annual,0.760150376,50,23,27,4557,4639
1999,UTA,Annual,0.766887417,50,37,13,4666,4340
1999,VAN,Annual,0.716619318,50,8,42,4443,4876
1999,WAS,Annual,0.705342237,50,18,32,4560,4672
2000,ATL,Annual,0.743331656,82,28,54,7735,8176
2000,BOS,Annual,0.745287356,82,35,47,8146,8208
2000,CHH,Annual,0.757933279,82,49,33,8072,7853
2000,CHI,Annual,0.709430349,82,17,65,6952,7723
2000,CLE,Annual,0.749659864,82,32,50,7950,8237
2000,DAL,Annual,0.803540834,82,40,42,8316,8363
2000,DEN,Annual,0.723534972,82,35,47,8115,8289
2000,DET,Annual,0.780526736,82,42,40,8483,8365
2000,GSW,Annual,0.69725198,82,19,63,7834,8512
2000,HOU,Annual,0.733333333,82,34,48,8156,8227
2000,IND,Annual,0.81125498,82,56,26,8306,7929
2000,LAC,Annual,0.746440307,82,15,67,7546,8491
2000,LAL,Annual,0.696368243,82,67,15,8267,7566
2000,MIA,Annual,0.736179529,82,52,30,7739,7484
2000,MIL,Annual,0.786074672,82,42,40,8300,8282
2000,MIN,Annual,0.779536461,82,50,32,8079,7872
2000,NJN,Annual,0.784419402,82,31,51,8036,8121
2000,NYK,Annual,0.781163435,82,50,32,7555,7435
2000,ORL,Annual,0.734827264,82,41,41,8206,8150
2000,PHI,Annual,0.708445642,82,49,33,7771,7661
2000,PHO,Annual,0.758531541,82,53,29,8111,7683
2000,POR,Annual,0.759980286,82,59,23,7991,7466
2000,SAC,Annual,0.754464286,82,44,38,8607,8368
2000,SAS,Annual,0.746160795,82,53,29,7886,7399
